"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
17465	"Bele suer, bone grace avez"	"ma mie, vous avez les bonnes grâces"	"Bele suer"	"ma mie"													
17466	"De Damedieu qui tant savez."	"du Seigneur Dieu pour savoir tout cela."															
17467	"Nos le feron a vostre los."	"Nous ferons comme vous dites."															
17468	"Triboulez n'ert mie si os"	"Triboulet n'osera jamais"															
17469	"De ceste chose nos descovre,"	"nous dénoncer pour ça."															
17470	"Ja ne li celeré ceste ovre."	"Nous ne lui cacherons pas notre plan,"															
17471	"Bien avon mestier de s'aïe."	"car nous aurons besoin de son aide."															
17472	"Se Diex plet et sainte Marie,"	"Et si Dieu et Sainte Marie le veulent,"															
17473	"Entre nos .IIII. leverons"	"nous parviendrons à soulever Brun l'ours"															
17474	"Brun l'ors, ja grevez n'en serons. »"	"à tous les quatre sans peiner. »"	"ja grevez n'en serons"	"sans peiner"													
17475	"La parole lessent a tant,"	"Il termine son propos là-dessus,"															
17476	"Jusqu'a la mie nuit errant"	"et attend jusqu'au milieu de la nuit"															
17477	"Fist sa charete apareillier."	"pour préparer sa charrette."															
17478	"N'a pas talent de sonmeillier,"	"Il n'a pas envie de dormir,"															
17479	"La nuit ne dort ne ne sonmeille."	"et ne ferme pas l'œil de la nuit."															
17480	"A mie nuit sa fame esveille,"	"Puis, il réveille sa femme,"															
17481	"Et Costancete et son garçon,"	"Constancette et son valet."															
17482	"Et prist en sa main .I. baston"	"Il prend un bâton dans sa main,"															
17483	"Et .II. fleches a sa ceinture"	"et met deux flèches à la ceinture,"															
17484	"Que bien sot trere par nature."	"car il sait très bien tirer à l'arc."															
17485	"Avant s'en va toute la voie"	"Liétart avance sur le chemin"															
17486	"Por espïer que l'en nel voie."	"pour vérifier que personne ne l'épie."															
17487	"Lietart de riens ne se sejorne,"	"Il ne s'y attarde pas,"						"x"									
17488	"Sa charete afete et atorne."	"et va préparer sa charrette."															
17489	"En la charrete monter fait"	"Ensuite, il y fait monter"															
17490	"Sa fame et sa fille, et s'en vait"	"sa femme et sa fille, et ils s'en vont"															
17491	"Sanz noise fere au plus qu'il pot."	"en faisant le moins de bruit possible."															
17492	"Son cheval ne va pas le trot,"	"Il ne fait pas trotter son cheval,"															
17493	"Aler le fait le petit pas,"	"mais le fait avancer au pas."															
17494	"Et sa charrete ne brait pas,"	"Sa charrette ne fait aucun bruit,"															
17495	"Qar de sieu l'avoit mout bien ointe."	"car il a bien graissé l'essieu."															
17496	"Sa moillier et sa fille cointe,"	"Il défend avec insistance"															
17497	"Il lor desfent quant que il pot,"	"à sa femme et à sa fille pourtant sages,"	"quant que il pot"	"avec insistance"													
17498	"Que il ne dient .I. sol mot,"	"de dire le moindre mot,"															
17499	"Que fames jenglent totevoies."	"car les femmes, ça bavarde toujours."															
17500	"Eles se tiengnent totes coies,"	"Mais, elles se tiennent toutes tranquilles,"															
17501	"Que de la gent grant peor ont."	"car elles ont grand-peur qu'on les voie."	"gent"	"qu'on les voit"													
17502	"Quant de la vile issuz sont"	"Quand ils sont sortis du village"															
17503	"Entor .V. archies ou .VI.,"	"d'au moins quatre ou cinq portées d'arc,"															
17504	"Li vilain qui estoit assis"	"le paysan, bien installé"															
17505	"En la sele sor le cheval"	"sur la selle de son cheval,"															
17506	"L'a fait troter trestot .I. val,"	"le fait descendre un val"															
17507	"Tant sont alez les troz menuz"	"au petit trot,"															
17508	"Que il sont a l'essart venuz"	"jusqu'à l'essart"															
17509	"Ou il avoit couvert Brun l'ors."	"où il a enterré Brun l'ours."															
17510	"De la terre l'avoient sors,"	"Ils se mettent à deux de chaque côté,"															
17511	"Dui et dui ensemble se tiennent,"	"et le déterrent ensemble."															
17512	"Pres de la charete s'en viennent,"	"Ils le tirent jusqu'à la charrette,"															
17513	"Dedenz le metent il a paine."	"et le mettent dedans avec peine."															
17514	"Lietart a son ostel le meinne"	"Liétart se fait une grande joie"															
17515	"Conme cil qui grant joie en fet."	"de l'emmener chez lui."															
17516	"A bones pieces le desfet,"	"Là-bas, il le découpe en gros morceaux,"															
17517	"Et a son coutelle despiece."	"et le dépèce avec son couteau."															
17518	"A son garçon chascune piece"	"Il fait laver chaque morceau par son valet"															
17519	"Fait laver en bele eve clere."	"dans de l'eau bien claire."															
17520	"Entre Costancete et sa mere"	"Puis, Constancette et sa mère"															
17521	"Les pieces issi con il sont"	"prennent les morceaux,"															
17522	"En une huche les repont."	"et les cachent dans un coffre."															
17523	"Lietart qui plus targier ne velt"	"Liétart, qui ne peut se contenir davantage,"															
17524	"Ne se targe plus qu'il n'apiaut"	"appelle alors son valet"															
17525	"Son garçon, que plus doute et crient"	"qu'il craint beaucoup,"															
17526	"Por ce qu'il ne li apartient."	"car ils ne sont pas parents."	"Por ce qu'il ne li apartient"	"car ils ne sont pas parents"													
17527	"En riant et a bele chiere"	"La mine avenante, avec un large sourire,"															
17528	"Le prie, si com il a chiere"	"il le prie, au nom de son salut et de l'amitié"															
17529	"L'amor et la vie de lui,"	"qu'il a pour lui,"															
17530	"Qu'il ne le die a nului."	"de ne rien raconter à quiconque."															
17531	"Le garçon li jure et afie"	"Le valet lui jure et lui promet"															
17532	"Que ne le descouverra mie,"	"qu'il ne le dénoncera pas,"															
17533	"Ne ja par lui n'ert descoverte"	"et qu'il ne révélera jamais rien"															
17534	"Chose dont il li viengne perte"	"qui puisse lui causer du tort,"															
17535	"Ne mal, ne donmage, ne honte."	"ou le couvrir de honte."															
17536	"Por coi vos feroie lonc conte ?"	"Que dire de plus !"	"Por coi vos feroie lonc conte"	"Que dire de plus !"		"x"											
17537	"Tantost con li jors esclaira,"	"Dès les premières lueurs du jour,"			198			"x"		"Comment se débarrasser de Renart"	"2016/07/comment-se-debarrasser-de-renart.html"	"https://1.bp.blogspot.com/-ubEVLbyXsvY/V-_S2Y3K-RI/AAAAAAAAH1k/L94nEP5L4vgsO9SMXm71D7pmV6zfwFIJACLcB/s320/34l-renart-veut-son-du.jpg"					
17538	"Renart qui ja bien ne fera"	"Renart, qui ne fera jamais rien de bon,"															
17539	"De Malpertuis, son fort plessié,"	"sort ventre à terre de Maupertuis,"															
17540	"S'en est issuz le col bessié."	"son enclos fortifié."															
17541	"Sa pel ot de viande vuide,"	"Il n'a plus de nourriture sous son toit,"	"Sa pel ot de viande vuide"	"Il n'a plus de nourriture sous son toit"													
17542	"Que il bien de verité cuide"	"mais il croit bien en vérité,"															
17543	"Avoir les gelines Lietart"	"avoir les poules de Liétart,"															
17544	"Et aveques le coc Blanchart."	"et son coq Blanchart,"															
17545	"Il ne sera, ce dit, plus vis."	"qui n'a plus longtemps à vivre, se dit-il."															
17546	"Bien cuide et si li est avis"	"Il est persuadé"															
17547	"Que de tout sires estre doie,"	"que tout lui revient de droit,"	"Que de tout sires estre doie"	"que tout lui revient de droit"													
17548	"Et de Lietart et de la proie,"	"aussi bien Liétart que ses biens,"	"Et de Lietart et de la proie"	"aussi bien Liétart que ses biens"													
17549	"Pour Rougiel que sauvé li a."	"pour avoir sauvé Rougel."															
17550	"De loing le vilain espia"	"Il guette le paysan au loin,"															
17551	"Qui entor son plessié estoit,"	"en train de réparer une vieille clôture"															
17552	"Une viez soif i redreçoit."	"le long de son enclos."															
17553	"Vers la haie vers lui s'eslaisse,"	"Il s'élance vers la haie où il se trouve,"															
17554	"Conme cil qui la fain apresse."	"comme s'il était poussé par la faim."															
17555	"Bien cuide avoir sanz contredit"	"Il s'attend à obtenir sans difficulté,"															
17556	"Ce que li vilain li ot dit,"	"ce que le paysan lui a promis,"															
17557	"Mes autrement ert qu'il ne pense."	"mais il va en être autrement qu'il le croit."															
17558	"Le vilain le vit, si s'apense"	"Le paysan le voit aussi, et se rappelle alors"															
17559	"De la pramesse qu'il li fist."	"la promesse qu'il lui a faite."															
17560	"Sa sarpe et sa coingnie prist"	"Il prend sa cognée et sa serpe,"															
17561	"Dont aguisiez avoit ses piex."	"avec laquelle il a aiguisé ses pieux."															
17562	"Pres de la haie ert ses ostiex,"	"Sa maison est tout près de la haie,"															
17563	"Qar de la haie estoit açains."	"qui en fait le tour."															
17564	"Damedieu en jure et ses sains"	"Il jure par Dieu et tous ses saints,"															
17565	"Entre ses denz, ainz qu'il s'en tort,"	"entre ses dents, qu'avant de s'en retourner,"															
17566	"Que « Renart ert a povre cort,"	"« Renart sera bien mal loti"															
17567	"S'il s'atent a moi a souper."	"s'il s'attend à souper avec moi."															
17568	"Renart me cuide plus couster"	"Renart croit qu'il va me faire payer plus"															
17569	"Qu'il ne me coustera des mois."	"qu'il m'en coûterait en plusieurs mois."															
17570	"Il cuide avoir tot demanois"	"Il s'imagine avoir sur-le-champ"															
17571	"Ce que li ai en convenant,"	"tout ce que je lui ai promis,"															
17572	"Mes ainssi com il a sovent"	"alors que lui-même"															
17573	"Covenz fausez par mainte foiz,"	"ne tient pas souvent sa parole."															
17574	"Il est mout bien reson et droiz"	"On est tout à fait dans son droit"															
17575	"De l'engingneor qu'en l'engint. »"	"quand on trompe un trompeur. »"															
17576	"Einssi parlant a l'ostel vint,"	"Une fois dit cela, il rentre chez lui"															
17577	"Ou trova filant Brunmatin."	"retrouver Brunmatin, en train de filer."															
17578	"« Trop lessiez oevre par matin,"	"« Vous arrêtez le travail de bon matin,"															
17579	"Sire mauvez vilain, fet ele."	"monsieur le mauvais paysan, fait-elle."															
17580	"— Ma bele suer, ma damoisele,"	"— Ma chère amie, ma demoiselle,"	"Ma bele suer, ma damoisele"	"Ma chère amie, ma demoiselle"													
17581	"Fet il, or ne vos corrouciez,"	"fait-il, ne vous fâchez donc pas,"															
17582	"Ne vers moi ne vos aïriez."	"ne vous mettez pas en colère contre moi."															
17583	"Je ne sui pas, fet il, si fox"	"Je ne suis pas fou, fait-il,"															
17584	"Que le matin mete en repox,"	"au point de vouloir me reposer dès le matin."															
17585	"Ainz venoie a vos savoir"	"Je viens, en fait, pour vous demander"															
17586	"Conment peüsse decevoir"	"comment je pourrais tromper"															
17587	"Renart qui ci aprés moi vient."	"Renart qui arrive droit chez nous."															
17588	"Nos gelines a soues tient"	"Il doit s'imaginer"															
17589	"Et les poucins, et cuide et croit"	"que les poules et les poulets sont à lui,"															
17590	"Que Blanchart, nostre coc, son soit,"	"ainsi que Blanchart notre coq,"															
17591	"Por ce qu'avant hier li pramis"	"comme je lui ai promis avant-hier,"															
17592	"Por Brun que en mes mains a mis."	"pour m'avoir aidé à me débarrasser de Brun."															
17593	"Por ce vient ci touz abrivez,"	"Voilà pourquoi il arrive à toute hâte,"															
17594	"Mes a mal port est arivez."	"mais il va frapper à la mauvaise porte,"															
17595	"Se vos bon conseil i trovez,"	"si vous avez un bon conseil,"															
17596	"Ore iert ton sens esprovez ;"	"ou si vous trouvez une bonne ruse,"															
17597	"Et si controve .I. bon barat."	"grâce à votre bon sens avéré."															
17598	"Se vaincu le puez rendre ou mat,"	"Si vous pouvez nous débarrasser"															
17599	"Le felon plain de tricherie,"	"de ce félon de tricheur,"															
17600	"Tu feras bonne lecherie"	"vous seriez alors"															
